locat,year,month,day,week,SO2,PM10,O3,NO2,CO,PM2P5
UND,2016,1,1,fri,0.004,58,0.011,0.025,1,
UND,2016,1,2,sat,0.004,58,0.014,0.03,0.8,
UND,2016,1,3,sun,0.005,67,0.014,0.024,0.9,
UND,2016,1,4,mon,0.008,86,0.016,0.03,0.8,
UND,2016,1,5,tue,0.012,37,0.009,0.026,0.4,
UND,2016,1,6,wed,0.01,74,0.005,0.034,0.8,
UND,2016,1,7,thu,0.007,51,0.013,0.021,0.5,
UND,2016,1,8,fri,0.006,42,0.01,0.026,0.5,
UND,2016,1,9,sat,0.008,45,0.013,0.024,0.5,
UND,2016,1,10,sun,0.006,54,0.013,0.025,0.8,
UND,2016,1,11,mon,0.006,43,0.008,0.03,0.7,
UND,2016,1,12,tue,0.009,59,0.01,0.029,0.8,
UND,2016,1,13,wed,0.009,35,0.015,0.019,0.6,
UND,2016,1,14,thu,0.004,41,0.016,0.021,0.6,
UND,2016,1,15,fri,0.006,74,0.007,0.039,1.2,
UND,2016,1,16,sat,0.007,108,0.003,0.042,1.4,
UND,2016,1,17,sun,0.013,68,0.004,0.034,1.1,
UND,2016,1,18,mon,0.003,42,0.019,0.017,0.7,
UND,2016,1,19,tue,0.004,38,0.022,0.011,0.5,
UND,2016,1,20,wed,0.006,38,0.011,0.021,0.5,
UND,2016,1,21,thu,0.01,48,0.007,0.028,0.6,
UND,2016,1,22,fri,0.013,49,0.007,0.03,0.8,
UND,2016,1,23,sat,0.025,34,0.021,0.012,0.4,
UND,2016,1,24,sun,0.012,30,0.02,0.011,0.5,
UND,2016,1,25,mon,0.013,68,0.006,0.029,0.8,
UND,2016,1,26,tue,0.016,81,0.007,0.034,0.9,
UND,2016,1,27,wed,0.012,91,0.008,0.04,1.2,
UND,2016,1,28,thu,0.008,86,0.004,0.039,1.1,
UND,2016,1,29,fri,0.006,26,0.015,0.022,0.4,
UND,2016,1,30,sat,0.009,32,0.008,0.026,0.6,
UND,2016,1,31,sun,0.011,40,0.018,0.017,0.5,
MPD,2016,1,1,mon,0.003,64,0.008,0.023,0.4,
MPD,2016,1,2,tue,0.003,53,0.014,0.021,0.3,
MPD,2016,1,3,wed,0.003,67,0.008,0.021,0.4,
MPD,2016,1,4,thu,0.004,91,0.018,0.02,0.4,
MPD,2016,1,5,fri,0.003,37,0.011,0.02,0.3,
MPD,2016,1,6,sat,0.005,63,0.006,0.023,0.4,
MPD,2016,1,7,sun,0.003,56,0.015,0.014,0.3,
MPD,2016,1,8,mon,0.003,43,0.01,0.018,0.4,
MPD,2016,1,9,tue,0.002,43,0.016,0.015,0.4,
MPD,2016,1,10,wed,0.003,61,0.012,0.016,0.4,
MPD,2016,1,11,thu,0.003,56,0.009,0.021,0.4,
MPD,2016,1,12,fri,0.003,53,0.011,0.02,0.4,
MPD,2016,1,13,sat,0.002,41,0.013,0.016,0.3,
MPD,2016,1,14,sun,0.003,42,0.017,0.017,0.3,
MPD,2016,1,15,mon,0.004,68,0.007,0.028,0.5,
MPD,2016,1,16,tue,0.003,96,0.006,0.028,0.5,
MPD,2016,1,17,wed,0.002,83,0.006,0.025,0.5,
