location,date,SO2,PM10,O3,NO2,CO,PM25
UND,20160101,0.004,58,0.011,0.025,1,
UND,20160102,0.004,58,0.014,0.03,0.8,
UND,20160103,0.005,67,0.014,0.024,0.9,
UND,20160104,0.008,86,0.016,0.03,0.8,
UND,20160105,0.012,37,0.009,0.026,0.4,
UND,20160106,0.01,74,0.005,0.034,0.8,
UND,20160107,0.007,51,0.013,0.021,0.5,
UND,20160108,0.006,42,0.01,0.026,0.5,
UND,20160109,0.008,45,0.013,0.024,0.5,
UND,20160110,0.006,54,0.013,0.025,0.8,
UND,20160111,0.006,43,0.008,0.03,0.7,
UND,20160112,0.009,59,0.01,0.029,0.8,
UND,20160113,0.009,35,0.015,0.019,0.6,
UND,20160114,0.004,41,0.016,0.021,0.6,
UND,20160115,0.006,74,0.007,0.039,1.2,
UND,20160116,0.007,108,0.003,0.042,1.4,
UND,20160117,0.013,68,0.004,0.034,1.1,
UND,20160118,0.003,42,0.019,0.017,0.7,
UND,20160119,0.004,38,0.022,0.011,0.5,
UND,20160120,0.006,38,0.011,0.021,0.5,
UND,20160121,0.01,48,0.007,0.028,0.6,
UND,20160122,0.013,49,0.007,0.03,0.8,
UND,20160123,0.025,34,0.021,0.012,0.4,
UND,20160124,0.012,30,0.02,0.011,0.5,
UND,20160125,0.013,68,0.006,0.029,0.8,
UND,20160126,0.016,81,0.007,0.034,0.9,
UND,20160127,0.012,91,0.008,0.04,1.2,
UND,20160128,0.008,86,0.004,0.039,1.1,
UND,20160129,0.006,26,0.015,0.022,0.4,
UND,20160130,0.009,32,0.008,0.026,0.6,
UND,20160131,0.011,40,0.018,0.017,0.5,
MPD,20160101,0.003,64,0.008,0.023,0.4,
MPD,20160102,0.003,53,0.014,0.021,0.3,
MPD,20160103,0.003,67,0.008,0.021,0.4,
MPD,20160104,0.004,91,0.018,0.02,0.4,
MPD,20160105,0.003,37,0.011,0.02,0.3,
MPD,20160106,0.005,63,0.006,0.023,0.4,
MPD,20160107,0.003,56,0.015,0.014,0.3,
MPD,20160108,0.003,43,0.01,0.018,0.4,
MPD,20160109,0.002,43,0.016,0.015,0.4,
MPD,20160110,0.003,61,0.012,0.016,0.4,
